== Ejercicio 1a ==

Cliente susan: 2 0
Cliente bob: 2 3
Cliente nicolas: 1 1
Cliente gabi: 1 1
Cliente tini: 3 0
Cliente orne: 1 2
Cliente fransa: 2 1
Cliente susan: 1 2
Cliente bob: 3 2
Cliente nicolas: 1 2
Cliente gabi: 1 3
Cliente tini: 2 2
Cliente orne: 0 0
Cliente fransa: 1 0
Cliente susan: 2 0
Cliente bob: 1 0
Cliente nicolas: 0 1
Cliente gabi: 1 1
Cliente tini: 1 0
Cliente orne: 5 1
Cliente fransa: 6 1
Cliente susan: 1 2
Cliente bob: 5 0
Cliente nicolas: 1 1
Cliente gabi: 1 4
Cliente tini: 1 0
Cliente orne: 0 3
Cliente fransa: 0 1
== Ejercicio 1b ==

